id,currentCategory,currentParent,currentSubParent,currentMainCategory,remarks,recommendedCategory,recommendedParent,recommendedSubParent,recommendedMainCategory,categoryId,notes
341,Unknown,[NULL],[NULL],[NULL],,Food & Dining,Personal Meals,Fast food,Food & Dining,59,Small snacks from vendor
349,Unknown,[NULL],[NULL],[NULL],,Food & Dining,Personal Meals,Fast food,Food & Dining,59,Vendor food
381,Unknown,[NULL],[NULL],[NULL],,Food & Dining,Personal Meals,Fast food,Food & Dining,59,Fruit/Juice center
388,Unknown,[NULL],[NULL],[NULL],,Food & Dining,Personal Meals,Fast food,Food & Dining,59,Vendor food
391,Unknown,[NULL],[NULL],[NULL],,Food & Dining,Personal Meals,Fast food,Food & Dining,59,Bakery item
404,Unknown,[NULL],[NULL],[NULL],,Food & Dining,Personal Meals,Fast food,Food & Dining,59,Vendor item
407,Unknown,[NULL],[NULL],[NULL],,Food & Dining,Personal Meals,Fast food,Food & Dining,59,Vendor food
408,Unknown,[NULL],[NULL],[NULL],,Food & Dining,Personal Meals,Fast food,Food & Dining,59,Vendor food
409,Unknown,[NULL],[NULL],[NULL],,Food & Dining,Personal Meals,Fast food,Food & Dining,59,Dabeli
411,Unknown,[NULL],[NULL],[NULL],,Food & Dining,Personal Meals,Fast food,Food & Dining,59,Fast food
414,Unknown,[NULL],[NULL],[NULL],,Food & Dining,Personal Meals,Fast food,Food & Dining,59,Vendor food
416,Unknown,[NULL],[NULL],[NULL],,Food & Dining,Personal Meals,Fast food,Food & Dining,59,Vendor item
419,Unknown,[NULL],[NULL],[NULL],,Food & Dining,Personal Meals,Fast food,Food & Dining,59,General store item
422,Unknown,[NULL],[NULL],[NULL],,Food & Dining,Personal Meals,Fast food,Food & Dining,59,Vendor food
423,Unknown,[NULL],[NULL],[NULL],,Food & Dining,Personal Meals,Fast food,Food & Dining,59,Vendor food
427,Unknown,[NULL],[NULL],[NULL],,Food & Dining,Personal Meals,Fast food,Food & Dining,59,Bakery item
428,Unknown,[NULL],[NULL],[NULL],,Food & Dining,Outside with Wife,Fast food,Food & Dining,63,Pan Parlour - couple outing
429,Unknown,[NULL],[NULL],[NULL],,Food & Dining,Outside with Wife,Fast food,Food & Dining,63,Pan Parlour - couple outing
430,Unknown,[NULL],[NULL],[NULL],,Food & Dining,Personal Meals,Fast food,Food & Dining,59,Vendor food
431,Unknown,[NULL],[NULL],[NULL],,Food & Dining,Personal Meals,Fast food,Food & Dining,59,Vendor food
432,Unknown,[NULL],[NULL],[NULL],,Food & Dining,Personal Meals,Fast food,Food & Dining,59,Vendor food
435,Unknown,[NULL],[NULL],[NULL],,Food & Dining,Personal Meals,Fast food,Food & Dining,59,Bakery item
437,Unknown,[NULL],[NULL],[NULL],,Food & Dining,Personal Meals,Fast food,Food & Dining,59,Vendor item
439,Unknown,[NULL],[NULL],[NULL],,Food & Dining,Personal Meals,Fast food,Food & Dining,59,Vendor food
444,Unknown,[NULL],[NULL],[NULL],,Food & Dining,Personal Meals,Fast food,Food & Dining,59,Vendor item
445,Unknown,[NULL],[NULL],[NULL],,Food & Dining,Personal Meals,Fast food,Food & Dining,59,Fast food item
446,Unknown,[NULL],[NULL],[NULL],,Food & Dining,Personal Meals,Fast food,Food & Dining,59,Small item
447,Unknown,[NULL],[NULL],[NULL],,Food & Dining,Personal Meals,Fast food,Food & Dining,59,Vendor item
448,Unknown,[NULL],[NULL],[NULL],,Food & Dining,Personal Meals,Fast food,Food & Dining,59,Vendor item
449,Unknown,[NULL],[NULL],[NULL],,Food & Dining,Personal Meals,Fast food,Food & Dining,59,Vendor item
450,Unknown,[NULL],[NULL],[NULL],,Food & Dining,Personal Meals,Fast food,Food & Dining,59,Vendor food
